Year,Month #,Month,Commodity,Unit,Quantity,Amount_USD,Trade Type
2022,1,Jan,Tobacco,Kgs,5970615.0,18606351.0,Export
2022,1,Jan,Other Exports,,0.0,8329031.27,Export
2022,1,Jan,Tea,Kgs,3738422.0,5955969.0,Export
2022,1,Jan,Sugar,Kgs,9377407.0,5904768.93,Export
2022,1,Jan,Groundnuts,Kgs,2735690.0,3357895.46,Export
2022,1,Jan,Pulses,Kgs,3330183.5,2226693.07,Export
2022,1,Jan,Macadamia Nuts,Kgs,213164.74,1257545.94,Export
2022,1,Jan,Plastics and Other Articles Thereof,Kgs,503806.35,949672.06,Export
2022,1,Jan,Scrap Metal,Kgs,2610732.0,596761.0,Export
2022,1,Jan,Coffee,Kgs,131916.5,500045.43,Export
2022,1,Jan,Soya Beans,Kgs,131000.0,177492.22,Export
2022,1,Jan,"Beverages, Spirits, Vinegar",Litres,88937.4,89367.46,Export
2022,1,Jan,Natural Rubber,Kgs,27720.0,53576.13,Export
2022,1,Jan,Wooden Furniture,Kgs,57721.0,52555.8,Export
2022,1,Jan,Fish,Kgs,25134.0,10312.81,Export
2022,1,Jan,Spices,Kgs,11906.2,10052.66,Export
2022,1,Jan,Rice,Kgs,7130.0,3352.34,Export
2022,1,Jan,Wood Sawn and Plied,Kgs,26800.0,1815.85,Export
2022,1,Jan,Apparel Clothing: Not Knitted or Crocheted,No,37.0,212.56,Export
2022,1,Jan,Coconut,Kgs,1000.0,121.46,Export
2022,1,Jan,Cotton,Kgs,0.0,0.0,Export
2022,1,Jan,Skins and Hides,Kgs,0.0,0.0,Export
2022,1,Jan,Live Trees and Flowers,Kgs,0.0,0.0,Export
2022,1,Jan,Woven Fabric,Kgs,0.0,0.0,Export
2022,1,Jan,Apparel Clothing: Knitted or Crocheted,No,0.0,0.0,Export
2022,2,Feb,Tobacco,Kgs,6964336.0,23553087.0,Export
2022,2,Feb,Other Exports,,0.0,16364616.11,Export
2022,2,Feb,Tea,Kgs,4861034.0,7857009.0,Export
2022,2,Feb,Groundnuts,Kgs,3428950.5,4192492.4,Export
2022,2,Feb,Macadamia Nuts,Kgs,397532.88,2701196.45,Export
2022,2,Feb,Pulses,Kgs,3368330.3,1948393.79,Export
2022,2,Feb,Scrap Metal,Kgs,2552524.0,767973.0,Export
2022,2,Feb,Sugar,Kgs,1303442.5,739196.49,Export
2022,2,Feb,Plastics and Other Articles Thereof,Kgs,289028.1,662461.28,Export
2022,2,Feb,Natural Rubber,Kgs,255325.0,487322.08,Export
2022,2,Feb,Soya Beans,Kgs,405011.8,295120.39,Export
2022,2,Feb,Skins and Hides,Kgs,29140.0,135730.36,Export
2022,2,Feb,Coffee,Kgs,19096.6,96607.75,Export
2022,2,Feb,"Beverages, Spirits, Vinegar",Litres,63262.9,66826.31,Export
2022,2,Feb,Wooden Furniture,Kgs,35701.51,44074.99,Export
2022,2,Feb,Spices,Kgs,48051.5,41521.95,Export
2022,2,Feb,Fish,Kgs,13903.0,35799.77,Export
2022,2,Feb,Rice,Kgs,30803.0,30543.17,Export
2022,2,Feb,Apparel Clothing: Not Knitted or Crocheted,No,104.0,778.97,Export
2022,2,Feb,Apparel Clothing: Knitted or Crocheted,No,103.0,680.08,Export
2022,2,Feb,Cotton,Kgs,455.0,194.31,Export
